date,topic_n,counts
2016-09-23,0.0,88422.0
2016-09-23,1.0,21602.0
2016-09-23,-1.0,39873.0
2016-09-23,2.0,7373.0
2016-09-23,3.0,2957.0
2016-09-23,4.0,854.0
2016-09-23,5.0,169.0
2016-09-23,6.0,48.0
2016-09-24,0.0,84530.0
2016-09-24,1.0,19064.0
2016-09-24,-1.0,37207.0
2016-09-24,2.0,6655.0
2016-09-24,3.0,2646.0
2016-09-24,4.0,944.0
2016-09-24,5.0,285.0
2016-09-24,6.0,27.0
2016-09-24,7.0,22.0
2016-09-25,0.0,111047.0
2016-09-25,2.0,13896.0
2016-09-25,3.0,7821.0
2016-09-25,4.0,4348.0
2016-09-25,-1.0,41979.0
2016-09-25,1.0,31737.0
2016-09-25,5.0,2883.0
2016-09-25,6.0,1638.0
2016-09-25,7.0,837.0
2016-09-25,8.0,303.0
2016-09-25,9.0,141.0
2016-09-26,-1.0,41063.0
2016-09-26,0.0,116240.0
2016-09-26,1.0,31977.0
2016-09-26,2.0,12121.0
2016-09-26,3.0,6116.0
2016-09-26,4.0,3312.0
2016-09-26,5.0,1995.0
2016-09-26,6.0,1414.0
2016-09-26,7.0,756.0
2016-09-26,8.0,384.0
2016-09-26,9.0,162.0
2016-09-26,10.0,46.0
2016-09-27,-1.0,123111.0
2016-09-27,0.0,208158.0
2016-09-27,1.0,68374.0
2016-09-27,2.0,30525.0
2016-09-27,3.0,14661.0
2016-09-27,4.0,6788.0
2016-09-27,5.0,2349.0
2016-09-27,6.0,986.0
2016-09-27,7.0,648.0
2016-09-27,8.0,483.0
2016-09-27,9.0,401.0
2016-09-27,10.0,223.0
2016-09-27,11.0,22.0
2016-09-27,12.0,21.0
2016-09-28,-1.0,45474.0
2016-09-28,0.0,133419.0
2016-09-28,1.0,40884.0
2016-09-28,2.0,19750.0
2016-09-28,3.0,12930.0
2016-09-28,4.0,9315.0
2016-09-28,5.0,7147.0
2016-09-28,6.0,5914.0
2016-09-28,7.0,4576.0
2016-09-28,8.0,2850.0
2016-09-28,9.0,1608.0
2016-09-28,10.0,515.0
2016-09-28,11.0,87.0
2016-09-28,12.0,21.0
2016-09-29,-1.0,37578.0
2016-09-29,0.0,137216.0
2016-09-29,1.0,41192.0
2016-09-29,2.0,18009.0
2016-09-29,3.0,10918.0
2016-09-29,4.0,7446.0
2016-09-29,5.0,5342.0
2016-09-29,6.0,3589.0
2016-09-29,7.0,1974.0
2016-09-29,8.0,966.0
2016-09-29,9.0,360.0
2016-09-29,10.0,43.0
2016-09-29,11.0,21.0
