date,topic_n,counts
2016-10-06,-1,17781.0
2016-10-06,0,161186.0
2016-10-06,1,27804.0
2016-10-06,2,9063.0
2016-10-06,3,5000.0
2016-10-06,4,2897.0
2016-10-06,5,1659.0
2016-10-06,6,899.0
2016-10-06,7,503.0
2016-10-06,8,168.0
2016-10-06,9,88.0
2016-10-06,10,22.0
2016-10-07,0,243048.0
2016-10-07,1,59779.0
2016-10-07,2,21528.0
2016-10-07,3,12747.0
2016-10-07,4,8847.0
2016-10-07,5,6358.0
2016-10-07,6,4316.0
2016-10-07,7,1850.0
2016-10-07,-1,27205.0
2016-10-07,8,467.0
2016-10-07,9,135.0
2016-10-08,-1,21877.0
2016-10-08,0,262530.0
2016-10-08,1,44518.0
2016-10-08,2,15182.0
2016-10-08,3,8241.0
2016-10-08,4,5538.0
2016-10-08,5,3641.0
2016-10-08,6,2268.0
2016-10-08,7,1024.0
2016-10-08,8,490.0
2016-10-08,9,67.0
2016-10-08,10,24.0
2016-10-09,-1,65960.0
2016-10-09,0,437225.0
2016-10-09,1,84933.0
2016-10-09,2,29342.0
2016-10-09,3,15455.0
2016-10-09,4,8130.0
2016-10-09,5,4351.0
2016-10-09,6,2166.0
2016-10-09,7,1124.0
2016-10-09,8,475.0
2016-10-09,9,185.0
2016-10-09,10,22.0
2016-10-10,-1,34881.0
2016-10-10,0,301158.0
2016-10-10,1,57146.0
2016-10-10,2,19307.0
2016-10-10,3,10805.0
2016-10-10,4,7442.0
2016-10-10,5,5407.0
2016-10-10,6,3929.0
2016-10-10,7,2558.0
2016-10-10,8,1303.0
2016-10-10,9,485.0
2016-10-10,10,216.0
2016-10-10,11,107.0
2016-10-11,-1,28442.0
2016-10-11,0,276061.0
2016-10-11,1,50006.0
2016-10-11,2,16380.0
2016-10-11,3,7602.0
2016-10-11,4,4524.0
2016-10-11,5,3346.0
2016-10-11,6,2346.0
2016-10-11,7,1430.0
2016-10-11,8,639.0
2016-10-11,9,180.0
2016-10-11,10,22.0
2016-10-12,0,301991.0
2016-10-12,1,55269.0
2016-10-12,2,17628.0
2016-10-12,3,8988.0
2016-10-12,4,4836.0
2016-10-12,-1,32354.0
2016-10-12,5,2703.0
2016-10-12,6,1513.0
2016-10-12,7,922.0
2016-10-12,8,451.0
2016-10-12,9,253.0
2016-10-12,10,67.0
2016-10-12,11,21.0
